state,county,county_label,geoid
AS,Rose Island,Rose Island,60030
AS,Swains Island,Swains Island,60040
AS,Western,Western District,60050
AZ,Apache,Apache County,04001
AZ,Cochise,Cochise County,04003
AZ,Coconino,Coconino County,04005
AZ,Gila,Gila County,04007
AZ,Graham,Graham County,04009
AZ,Greenlee,Greenlee County,04011
AZ,La Paz,La Paz County,04012
AZ,Maricopa,Maricopa County,04013
AZ,Mohave,Mohave County,04015
AZ,Navajo,Navajo County,04017
AZ,Pima,Pima County,04019
AZ,Pinal,Pinal County,04021
AZ,Santa Cruz,Santa Cruz County,04023
AZ,Yavapai,Yavapai County,04025
AZ,Yuma,Yuma County,04027
CA,Alameda,Alameda County,06001
CA,Alpine,Alpine County,06003
CA,Amador,Amador County,06005
CA,Butte,Butte County,06007
CA,Calaveras,Calaveras County,06009
CA,Colusa,Colusa County,06011
CA,Contra Costa,Contra Costa County,06013
CA,Del Norte,Del Norte County,06015
CA,El Dorado,El Dorado County,06017
CA,Fresno,Fresno County,06019
CA,Glenn,Glenn County,06021
CA,Humboldt,Humboldt County,06023
CA,Imperial,Imperial County,06025
CA,Inyo,Inyo County,06027
CA,Kern,Kern County,06029
CA,Kings,Kings County,06031
CA,Lake,Lake County,06033
CA,Lassen,Lassen County,06035
CA,Los Angeles,Los Angeles County,06037
CA,Madera,Madera County,06039
CA,Marin,Marin County,06041
CA,Mariposa,Mariposa County,06043
CA,Mendocino,Mendocino County,06045
CA,Merced,Merced County,06047
CA,Modoc,Modoc County,06049
CA,Mono,Mono County,06051
CA,Monterey,Monterey County,06053
CA,Napa,Napa County,06055
CA,Nevada,Nevada County,06057
CA,Orange,Orange County,06059
CA,Placer,Placer County,06061
CA,Plumas,Plumas County,06063
CA,Riverside,Riverside County,06065
CA,Sacramento,Sacramento County,06067
CA,San Benito,San Benito County,06069
CA,San Bernardino,San Bernardino County,06071
CA,San Diego,San Diego County,06073
CA,San Francisco,San Francisco County,06075
CA,San Joaquin,San Joaquin County,06077
CA,San Luis Obispo,San Luis Obispo County,06079
CA,San Mateo,San Mateo County,06081
CA,Santa Barbara,Santa Barbara County,06083
CA,Santa Clara,Santa Clara County,06085
CA,Santa Cruz,Santa Cruz County,06087
CA,Shasta,Shasta County,06089
CA,Sierra,Sierra County,06091
CA,Siskiyou,Siskiyou County,06093
CA,Solano,Solano County,06095
CA,Sonoma,Sonoma County,06097
CA,Stanislaus,Stanislaus County,06099
CA,Sutter,Sutter County,06101
CA,Tehama,Tehama County,06103
CA,Trinity,Trinity County,06105
CA,Tulare,Tulare County,06107
CA,Tuolumne,Tuolumne County,06109
CA,Ventura,Ventura County,06111
CA,Yolo,Yolo County,06113
CA,Yuba,Yuba County,06115
CO,Adams,Adams County,08001
CO,Alamosa,Alamosa County,08003
CO,Arapahoe,Arapahoe County,08005
CO,Archuleta,Archuleta County,08007
CO,Baca,Baca County,08009
CO,Bent,Bent County,08011
CO,Boulder,Boulder County,08013
CO,Broomfield,Broomfield County,08014
CO,Chaffee,Chaffee County,08015
CO,Cheyenne,Cheyenne County,08017
CO,Clear Creek,Clear Creek County,08019
CO,Conejos,Conejos County,08021
CO,Costilla,Costilla County,08023
CO,Crowley,Crowley County,08025
CO,Custer,Custer County,08027
CO,Delta,Delta County,08029
CO,Denver,Denver County,08031
CO,Dolores,Dolores County,08033
CO,Douglas,Douglas County,08035
CO,Eagle,Eagle County,08037
CO,El Paso,El Paso County,08041
CO,Elbert,Elbert County,08039
CO,Fremont,Fremont County,08043
CO,Garfield,Garfield County,08045
CO,Gilpin,Gilpin County,08047
CO,Grand,Grand County,08049
CO,Gunnison,Gunnison County,08051
CO,Hinsdale,Hinsdale County,08053
CO,Huerfano,Huerfano County,08055
CO,Jackson,Jackson County,08057
CO,Jefferson,Jefferson County,08059
CO,Kiowa,Kiowa County,08061
CO,Kit Carson,Kit Carson County,08063
CO,La Plata,La Plata County,08067
CO,Lake,Lake County,08065
CO,Larimer,Larimer County,08069
CO,Las Animas,Las Animas County,08071
CO,Lincoln,Lincoln County,08073
CO,Logan,Logan County,08075
CO,Mesa,Mesa County,08077
CO,Mineral,Mineral County,08079
CO,Moffat,Moffat County,08081
CO,Montezuma,Montezuma County,08083
CO,Montrose,Montrose County,08085
CO,Morgan,Morgan County,08087
CO,Otero,Otero County,08089
CO,Ouray,Ouray County,08091
CO,Park,Park County,08093
CO,Phillips,Phillips County,08095
CO,Pitkin,Pitkin County,08097
CO,Prowers,Prowers County,08099
CO,Pueblo,Pueblo County,08101
CO,Rio Blanco,Rio Blanco County,08103
CO,Rio Grande,Rio Grande County,08105
CO,Routt,Routt County,08107
CO,Saguache,Saguache County,08109
CO,San Juan,San Juan County,08111
CO,San Miguel,San Miguel County,08113
CO,Sedgwick,Sedgwick County,08115
CO,Summit,Summit County,08117
CO,Teller,Teller County,08119
CO,Washington,Washington County,08121
CO,Weld,Weld County,08123
CO,Yuma,Yuma County,08125
CT,Capitol,Capitol Planning Region,09110
CT,Greater Bridgeport,Greater Bridgeport Planning Region,09120
CT,Lower Connecticut River Valley,Lower Connecticut River Valley Planning Region,09130
CT,Naugatuck Valley,Naugatuck Valley Planning Region,09140
CT,Northeastern Connecticut,Northeastern Connecticut Planning Region,09150
CT,Northwest Hills,Northwest Hills Planning Region,09160
CT,South Central Connecticut,South Central Connecticut Planning Region,09170
CT,Southeastern Connecticut,Southeastern Connecticut Planning Region,09180
CT,Western Connecticut,Western Connecticut Planning Region,09190
DC,District of Columbia,District of Columbia,11001
DE,Kent,Kent County,10001
DE,New Castle,New Castle County,10003
DE,Sussex,Sussex County,10005
FL,Alachua,Alachua County,12001
FL,Baker,Baker County,12003
FL,Bay,Bay County,12005
FL,Bradford,Bradford County,12007
FL,Brevard,Brevard County,12009
FL,Broward,Broward County,12011
FL,Calhoun,Calhoun County,12013
FL,Charlotte,Charlotte County,12015
FL,Citrus,Citrus County,12017
FL,Clay,Clay County,12019
FL,Collier,Collier County,12021
FL,Columbia,Columbia County,12023
FL,DeSoto,DeSoto County,12027
FL,Dixie,Dixie County,12029
FL,Duval,Duval County,12031
FL,Escambia,Escambia County,12033
FL,Flagler,Flagler County,12035
FL,Franklin,Franklin County,12037
FL,Gadsden,Gadsden County,12039
FL,Gilchrist,Gilchrist County,12041
FL,Glades,Glades County,12043
FL,Gulf,Gulf County,12045
FL,Hamilton,Hamilton County,12047
FL,Hardee,Hardee County,12049
FL,Hendry,Hendry County,12051
FL,Hernando,Hernando County,12053
FL,Highlands,Highlands County,12055
FL,Hillsborough,Hillsborough County,12057
FL,Holmes,Holmes County,12059
FL,Indian River,Indian River County,12061
FL,Jackson,Jackson County,12063
FL,Jefferson,Jefferson County,12065
FL,Lafayette,Lafayette County,12067
FL,Lake,Lake County,12069
FL,Lee,Lee County,12071
FL,Leon,Leon County,12073
FL,Levy,Levy County,12075
FL,Liberty,Liberty County,12077
FL,Madison,Madison County,12079
FL,Manatee,Manatee County,12081
FL,Marion,Marion County,12083
FL,Martin,Martin County,12085
FL,Miami-Dade,Miami-Dade County,12086
FL,Monroe,Monroe County,12087
FL,Nassau,Nassau County,12089
FL,Okaloosa,Okaloosa County,12091
FL,Okeechobee,Okeechobee County,12093
FL,Orange,Orange County,12095
FL,Osceola,Osceola County,12097
FL,Palm Beach,Palm Beach County,12099
FL,Pasco,Pasco County,12101
FL,Pinellas,Pinellas County,12103
FL,Polk,Polk County,12105
FL,Putnam,Putnam County,12107
FL,Santa Rosa,Santa Rosa County,12113
FL,Sarasota,Sarasota County,12115
FL,Seminole,Seminole County,12117
FL,St. Johns,St. Johns County,12109
FL,St. Lucie,St. Lucie County,12111
FL,Sumter,Sumter County,12119
FL,Suwannee,Suwannee County,12121
FL,Taylor,Taylor County,12123
FL,Union,Union County,12125
FL,Volusia,Volusia County,12127
FL,Wakulla,Wakulla County,12129
FL,Walton,Walton County,12131
FL,Washington,Washington County,12133
GA,Appling,Appling County,13001
GA,Atkinson,Atkinson County,13003
GA,Bacon,Bacon County,13005
GA,Baker,Baker County,13007
GA,Baldwin,Baldwin County,13009
GA,Banks,Banks County,13011
GA,Barrow,Barrow County,13013
GA,Bartow,Bartow County,13015
GA,Ben Hill,Ben Hill County,13017
GA,Berrien,Berrien County,13019
GA,Bibb,Bibb County,13021
GA,Bleckley,Bleckley County,13023
GA,Brantley,Brantley County,13025
GA,Brooks,Brooks County,13027
GA,Bryan,Bryan County,13029
GA,Bulloch,Bulloch County,13031
GA,Burke,Burke County,13033
GA,Butts,Butts County,13035
GA,Calhoun,Calhoun County,13037
GA,Camden,Camden County,13039
GA,Candler,Candler County,13043
GA,Carroll,Carroll County,13045
GA,Catoosa,Catoosa County,13047
GA,Charlton,Charlton County,13049
GA,Chatham,Chatham County,13051
GA,Chattahoochee,Chattahoochee County,13053
GA,Chattooga,Chattooga County,13055
GA,Cherokee,Cherokee County,13057
GA,Clarke,Clarke County,13059
GA,Clay,Clay County,13061
GA,Clayton,Clayton County,13063
GA,Clinch,Clinch County,13065
GA,Cobb,Cobb County,13067
GA,Coffee,Coffee County,13069
GA,Colquitt,Colquitt County,13071
GA,Columbia,Columbia County,13073
GA,Cook,Cook County,13075
GA,Coweta,Coweta County,13077
GA,Crawford,Crawford County,13079
GA,Crisp,Crisp County,13081
GA,Dade,Dade County,13083
GA,Dawson,Dawson County,13085
GA,DeKalb,DeKalb County,13089
GA,Decatur,Decatur County,13087
GA,Dodge,Dodge County,13091
GA,Dooly,Dooly County,13093
GA,Dougherty,Dougherty County,13095
GA,Douglas,Douglas County,13097
GA,Early,Early County,13099
GA,Echols,Echols County,13101
GA,Effingham,Effingham County,13103
GA,Elbert,Elbert County,13105
GA,Emanuel,Emanuel County,13107
GA,Evans,Evans County,13109
GA,Fannin,Fannin County,13111
GA,Fayette,Fayette County,13113
GA,Floyd,Floyd County,13115
GA,Forsyth,Forsyth County,13117
GA,Franklin,Franklin County,13119
GA,Fulton,Fulton County,13121
GA,Gilmer,Gilmer County,13123
GA,Glascock,Glascock County,13125
GA,Glynn,Glynn County,13127
GA,Gordon,Gordon County,13129
GA,Grady,Grady County,13131
GA,Greene,Greene County,13133
GA,Gwinnett,Gwinnett County,13135
GA,Habersham,Habersham County,13137
GA,Hall,Hall County,13139
GA,Hancock,Hancock County,13141
GA,Haralson,Haralson County,13143
GA,Harris,Harris County,13145
GA,Hart,Hart County,13147
GA,Heard,Heard County,13149
GA,Henry,Henry County,13151
GA,Houston,Houston County,13153
GA,Irwin,Irwin County,13155
GA,Jackson,Jackson County,13157
GA,Jasper,Jasper County,13159
GA,Jeff Davis,Jeff Davis County,13161
GA,Jefferson,Jefferson County,13163
GA,Jenkins,Jenkins County,13165
GA,Johnson,Johnson County,13167
GA,Jones,Jones County,13169
GA,Lamar,Lamar County,13171
GA,Lanier,Lanier County,13173
GA,Laurens,Laurens County,13175
GA,Lee,Lee County,13177
GA,Liberty,Liberty County,13179
GA,Lincoln,Lincoln County,13181
GA,Long,Long County,13183
GA,Lowndes,Lowndes County,13185
GA,Lumpkin,Lumpkin County,13187
GA,Macon,Macon County,13193
GA,Madison,Madison County,13195
GA,Marion,Marion County,13197
GA,McDuffie,McDuffie County,13189
GA,McIntosh,McIntosh County,13191
GA,Meriwether,Meriwether County,13199
GA,Miller,Miller County,13201
GA,Mitchell,Mitchell County,13205
GA,Monroe,Monroe County,13207
GA,Montgomery,Montgomery County,13209
GA,Morgan,Morgan County,13211
GA,Murray,Murray County,13213
GA,Muscogee,Muscogee County,13215
GA,Newton,Newton County,13217
GA,Oconee,Oconee County,13219
GA,Oglethorpe,Oglethorpe County,13221
GA,Paulding,Paulding County,13223
GA,Peach,Peach County,13225
GA,Pickens,Pickens County,13227
GA,Pierce,Pierce County,13229
GA,Pike,Pike County,13231
GA,Polk,Polk County,13233
GA,Pulaski,Pulaski County,13235
GA,Putnam,Putnam County,13237
GA,Quitman,Quitman County,13239
GA,Rabun,Rabun County,13241
GA,Randolph,Randolph County,13243
GA,Richmond,Richmond County,13245
GA,Rockdale,Rockdale County,13247
GA,Schley,Schley County,13249
GA,Screven,Screven County,13251
GA,Seminole,Seminole County,13253
GA,Spalding,Spalding County,13255
GA,Stephens,Stephens County,13257
GA,Stewart,Stewart County,13259
GA,Sumter,Sumter County,13261
GA,Talbot,Talbot County,13263
GA,Taliaferro,Taliaferro County,13265
GA,Tattnall,Tattnall County,13267
GA,Taylor,Taylor County,13269
GA,Telfair,Telfair County,13271
GA,Terrell,Terrell County,13273
GA,Thomas,Thomas County,13275
GA,Tift,Tift County,13277
GA,Toombs,Toombs County,13279
GA,Towns,Towns County,13281
GA,Treutlen,Treutlen County,13283
GA,Troup,Troup County,13285
GA,Turner,Turner County,13287
GA,Twiggs,Twiggs County,13289
GA,Union,Union County,13291
GA,Upson,Upson County,13293
GA,Walker,Walker County,13295
GA,Walton,Walton County,13297
GA,Ware,Ware County,13299
GA,Warren,Warren County,13301
GA,Washington,Washington County,13303
GA,Wayne,Wayne County,13305
GA,Webster,Webster County,13307
GA,Wheeler,Wheeler County,13309
GA,White,White County,13311
GA,Whitfield,Whitfield County,13313
GA,Wilcox,Wilcox County,13315
GA,Wilkes,Wilkes County,13317
GA,Wilkinson,Wilkinson County,13319
GA,Worth,Worth County,13321
GU,Guam,Guam,66010
HI,Hawaii,Hawaii County,15001
HI,Honolulu,Honolulu County,15003
HI,Kalawao,Kalawao County,15005
HI,Kauai,Kauai County,15007
HI,Maui,Maui County,15009
IA,Adair,Adair County,19001
IA,Adams,Adams County,19003
IA,Allamakee,Allamakee County,19005
IA,Appanoose,Appanoose County,19007
IA,Audubon,Audubon County,19009
IA,Benton,Benton County,19011
IA,Black Hawk,Black Hawk County,19013
IA,Boone,Boone County,19015
IA,Bremer,Bremer County,19017
IA,Buchanan,Buchanan County,19019
IA,Buena Vista,Buena Vista County,19021
IA,Butler,Butler County,19023
IA,Calhoun,Calhoun County,19025
IA,Carroll,Carroll County,19027
IA,Cass,Cass County,19029
IA,Cedar,Cedar County,19031
IA,Cerro Gordo,Cerro Gordo County,19033
IA,Cherokee,Cherokee County,19035
IA,Chickasaw,Chickasaw County,19037
IA,Clarke,Clarke County,19039
IA,Clay,Clay County,19041
IA,Clayton,Clayton County,19043
IA,Clinton,Clinton County,19045
IA,Crawford,Crawford County,19047
IA,Dallas,Dallas County,19049
IA,Davis,Davis County,19051
IA,Decatur,Decatur County,19053
IA,Delaware,Delaware County,19055
IA,Des Moines,Des Moines County,19057
IA,Dickinson,Dickinson County,19059
IA,Dubuque,Dubuque County,19061
IA,Emmet,Emmet County,19063
IA,Fayette,Fayette County,19065
IA,Floyd,Floyd County,19067
IA,Franklin,Franklin County,19069
IA,Fremont,Fremont County,19071
IA,Greene,Greene County,19073
IA,Grundy,Grundy County,19075
IA,Guthrie,Guthrie County,19077
IA,Hamilton,Hamilton County,19079
IA,Hancock,Hancock County,19081
IA,Hardin,Hardin County,19083
IA,Harrison,Harrison County,19085
IA,Henry,Henry County,19087
IA,Howard,Howard County,19089
IA,Humboldt,Humboldt County,19091
IA,Ida,Ida County,19093
IA,Iowa,Iowa County,19095
IA,Jackson,Jackson County,19097
IA,Jasper,Jasper County,19099
IA,Jefferson,Jefferson County,19101
IA,Johnson,Johnson County,19103
IA,Jones,Jones County,19105
IA,Keokuk,Keokuk County,19107
IA,Kossuth,Kossuth County,19109
IA,Lee,Lee County,19111
IA,Linn,Linn County,19113
IA,Louisa,Louisa County,19115
IA,Lucas,Lucas County,19117
IA,Lyon,Lyon County,19119
IA,Madison,Madison County,19121
IA,Mahaska,Mahaska County,19123
IA,Marion,Marion County,19125
IA,Marshall,Marshall County,19127
IA,Mills,Mills County,19129
IA,Mitchell,Mitchell County,19131
IA,Monona,Monona County,19133
IA,Monroe,Monroe County,19135
IA,Montgomery,Montgomery County,19137
IA,Muscatine,Muscatine County,19139
IA,O'Brien,O'Brien County,19141
IA,Osceola,Osceola County,19143
IA,Page,Page County,19145
IA,Palo Alto,Palo Alto County,19147
IA,Plymouth,Plymouth County,19149
IA,Pocahontas,Pocahontas County,19151
IA,Polk,Polk County,19153
IA,Pottawattamie,Pottawattamie County,19155
IA,Poweshiek,Poweshiek County,19157
IA,Ringgold,Ringgold County,19159
IA,Sac,Sac County,19161
IA,Scott,Scott County,19163
IA,Shelby,Shelby County,19165
IA,Sioux,Sioux County,19167
IA,Story,Story County,19169
IA,Tama,Tama County,19171
IA,Taylor,Taylor County,19173
IA,Union,Union County,19175
IA,Van Buren,Van Buren County,19177
IA,Wapello,Wapello County,19179
IA,Warren,Warren County,19181
IA,Washington,Washington County,19183
IA,Wayne,Wayne County,19185
IA,Webster,Webster County,19187
IA,Winnebago,Winnebago County,19189
IA,Winneshiek,Winneshiek County,19191
IA,Woodbury,Woodbury County,19193
IA,Worth,Worth County,19195
IA,Wright,Wright County,19197
ID,Ada,Ada County,16001
ID,Adams,Adams County,16003
ID,Bannock,Bannock County,16005
ID,Bear Lake,Bear Lake County,16007
ID,Benewah,Benewah County,16009
ID,Bingham,Bingham County,16011
ID,Blaine,Blaine County,16013
ID,Boise,Boise County,16015
ID,Bonner,Bonner County,16017
ID,Bonneville,Bonneville County,16019
ID,Boundary,Boundary County,16021
ID,Butte,Butte County,16023
ID,Camas,Camas County,16025
ID,Canyon,Canyon County,16027
ID,Caribou,Caribou County,16029
ID,Cassia,Cassia County,16031
ID,Clark,Clark County,16033
ID,Clearwater,Clearwater County,16035
ID,Custer,Custer County,16037
ID,Elmore,Elmore County,16039
ID,Franklin,Franklin County,16041
ID,Fremont,Fremont County,16043
ID,Gem,Gem County,16045
ID,Gooding,Gooding County,16047
ID,Idaho,Idaho County,16049
ID,Jefferson,Jefferson County,16051
ID,Jerome,Jerome County,16053
ID,Kootenai,Kootenai County,16055
ID,Latah,Latah County,16057
ID,Lemhi,Lemhi County,16059
ID,Lewis,Lewis County,16061
ID,Lincoln,Lincoln County,16063
ID,Madison,Madison County,16065
ID,Minidoka,Minidoka County,16067
ID,Nez Perce,Nez Perce County,16069
ID,Oneida,Oneida County,16071
ID,Owyhee,Owyhee County,16073
ID,Payette,Payette County,16075
ID,Power,Power County,16077
ID,Shoshone,Shoshone County,16079
ID,Teton,Teton County,16081
ID,Twin Falls,Twin Falls County,16083
ID,Valley,Valley County,16085
ID,Washington,Washington County,16087
IL,Adams,Adams County,17001
IL,Alexander,Alexander County,17003
IL,Bond,Bond County,17005
IL,Boone,Boone County,17007
IL,Brown,Brown County,17009
IL,Bureau,Bureau County,17011
IL,Calhoun,Calhoun County,17013
IL,Carroll,Carroll County,17015
IL,Cass,Cass County,17017
IL,Champaign,Champaign County,17019
IL,Christian,Christian County,17021
IL,Clark,Clark County,17023
IL,Clay,Clay County,17025
IL,Clinton,Clinton County,17027
IL,Coles,Coles County,17029
IL,Cook,Cook County,17031
IL,Crawford,Crawford County,17033
IL,Cumberland,Cumberland County,17035
IL,De Witt,De Witt County,17039
IL,DeKalb,DeKalb County,17037
IL,Douglas,Douglas County,17041
IL,DuPage,DuPage County,17043
IL,Edgar,Edgar County,17045
IL,Edwards,Edwards County,17047
IL,Effingham,Effingham County,17049
IL,Fayette,Fayette County,17051
IL,Ford,Ford County,17053
IL,Franklin,Franklin County,17055
IL,Fulton,Fulton County,17057
IL,Gallatin,Gallatin County,17059
IL,Greene,Greene County,17061
IL,Grundy,Grundy County,17063
IL,Hamilton,Hamilton County,17065
IL,Hancock,Hancock County,17067
IL,Hardin,Hardin County,17069
IL,Henderson,Henderson County,17071
IL,Henry,Henry County,17073
IL,Iroquois,Iroquois County,17075
IL,Jackson,Jackson County,17077
IL,Jasper,Jasper County,17079
IL,Jefferson,Jefferson County,17081
IL,Jersey,Jersey County,17083
IL,Jo Daviess,Jo Daviess County,17085
IL,Johnson,Johnson County,17087
IL,Kane,Kane County,17089
IL,Kankakee,Kankakee County,17091
IL,Kendall,Kendall County,17093
IL,Knox,Knox County,17095
IL,LaSalle,LaSalle County,17099
IL,Lake,Lake County,17097
IL,Lawrence,Lawrence County,17101
IL,Lee,Lee County,17103
IL,Livingston,Livingston County,17105
IL,Logan,Logan County,17107
IL,Macon,Macon County,17115
IL,Macoupin,Macoupin County,17117
IL,Madison,Madison County,17119
IL,Marion,Marion County,17121
IL,Marshall,Marshall County,17123
IL,Mason,Mason County,17125
IL,Massac,Massac County,17127
IL,McDonough,McDonough County,17109
IL,McHenry,McHenry County,17111
IL,McLean,McLean County,17113
IL,Menard,Menard County,17129
IL,Mercer,Mercer County,17131
IL,Monroe,Monroe County,17133
IL,Montgomery,Montgomery County,17135
IL,Morgan,Morgan County,17137
IL,Moultrie,Moultrie County,17139
IL,Ogle,Ogle County,17141
IL,Peoria,Peoria County,17143
IL,Perry,Perry County,17145
IL,Piatt,Piatt County,17147
IL,Pike,Pike County,17149
IL,Pope,Pope County,17151
IL,Pulaski,Pulaski County,17153
IL,Putnam,Putnam County,17155
IL,Randolph,Randolph County,17157
IL,Richland,Richland County,17159
IL,Rock Island,Rock Island County,17161
IL,Saline,Saline County,17165
IL,Sangamon,Sangamon County,17167
IL,Schuyler,Schuyler County,17169
IL,Scott,Scott County,17171
IL,Shelby,Shelby County,17173
IL,St. Clair,St. Clair County,17163
IL,Stark,Stark County,17175
IL,Stephenson,Stephenson County,17177
IL,Tazewell,Tazewell County,17179
IL,Union,Union County,17181
IL,Vermilion,Vermilion County,17183
IL,Wabash,Wabash County,17185
IL,Warren,Warren County,17187
