Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks,Decimal_Lat,Decimal_Lon,County,FIPS
HISM-FM,,89.5,SAN JUAN DE LA MAGUANA,JU,DOM,TROPICAL,MANANTIAL FM,710023,7.0,7.0,60.0,60.0,18-48-20,71-13-52,Spanish,,,,,,,18.805555555555557,-71.23111111111112,,
W208AP,WWVT 89.9,89.5,LYNCHBURG,VA,USA,CLASSICAL/JAZZ,WVTF MUSIC,84544,0.01,0.01,0.0,0.0,37-21-32,79-09-32,,,,,,,Virginia Tech University,37.35888888888889,-79.1588888888889,Amherst,51009.0
WJRF,,89.5,DULUTH,MN,USA,RELIGIOUS TEACHING,VOICE OF THE MASTER,49348,40.0,40.0,223.0,223.0,46-47-07,92-07-14,,,6E2B,,,,,46.78527777777778,-92.12055555555555,St. Louis,27137.0
KCNP,,89.5,ADA,OK,USA,VARIETY,CHICKASAW COMMUNITY RADIO,88713,5.8,5.8,177.0,177.0,34-41-01,96-45-44,,,,,,,,34.683611111111105,-96.76222222222222,Oklahoma,40109.0
KTSY,,89.5,CALDWELL,ID,USA,CONTEMPORARY CHRISTIAN,89.5 KTSY,23459,8.3,8.3,792.0,792.0,43-45-17,116-05-57,,,4418,89.5 KTSY,89.5 KTSY,Religious Music,,43.75472222222222,-116.09916666666666,Boise,16015.0
K208AG,KUER-FM,89.5,PARK CITY,UT,USA,NEWS/TALK,NPR UTAH,68998,0.0,0.009,3.0,0.0,40-40-59,111-31-22,,,,,,,University of Utah,40.683055555555555,-111.52277777777778,Summit,49043.0
XHCSI-FM,750 AM,89.5,CULIACÁN ROSALES,SIN,MEX,ROMANTICA,ROMÁNTICA,800068,25.0,25.0,35.59,35.59,24-50-43,107-24-58,Spanish,,,,,,,24.845277777777778,-107.41611111111112,,
4VOR-FM,,89.5,PETIT-GOAVE,OU,HTI,VARIETY,RADIO ORIENTATION,720261,0.3,0.3,40.0,40.0,18-30-46,72-37-26,Creole,,,,,,,18.512777777777778,-72.62388888888889,,
TGMN,,89.5,CABRICÁN,QZ,GTM,CULTURE,RADIO MAM,560037,0.1,0.1,98.0,98.0,15-04-26,91-38-55,Spanish,,,,,,,15.073888888888888,-91.64861111111112,,
WKPB,,89.5,HENDERSON,KY,USA,NEWS/TALK/CLASSICAL,WESTERN'S PUBLIC RADIO,71864,85.0,85.0,109.0,109.0,37-51-07,87-19-44,,,A797,WKU Public Radio,,Public,,37.85194444444445,-87.32888888888888,Henderson,21101.0
KMOC,,89.5,WICHITA FALLS,TX,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,KMOC TEXOMA,11107,3.0,3.0,200.0,200.0,33-53-23,98-33-30,,,311E,KMOC-FM,The Message..,,,33.88972222222222,-98.55833333333334,Wichita,48485.0
WVPR,,89.5,WINDSOR,VT,USA,NEWS/TALK,VERMONT PUBLIC RADIO,69951,1.7,1.7,694.0,694.0,43-26-15,72-27-08,,HD,8DB3,VPR NEWS,VPR NEWS,Public,,43.4375,-72.45222222222222,Windsor,50027.0
WYAZ,,89.5,YAZOO CITY,MS,USA,CONTEMPORARY CHRISTIAN,FAMILY RADIO,91703,85.0,85.0,162.0,162.0,32-48-04,89-56-32,,,,,,,,32.801111111111105,-89.94222222222223,Madison,28089.0
WGTF,,89.5,DOTHAN,AL,USA,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,17356,19.0,19.0,64.0,64.0,31-14-02,85-26-02,,,6673,WGTF-FM,,,,31.233888888888888,-85.43388888888889,Coffee,1031.0
KGWO,,89.5,OGALLALA,NE,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,767763,0.0,8.0,0.0,43.0,41-08-06,101-39-20,,,2222,Bott Radio Network,Bottradionetwork.com Call 800-345-2641,Religious Talk,,41.135,-101.65555555555557,Keith,31101.0
KOPN,,89.5,COLUMBIA,MO,USA,NEWS/TALK/VARIETY,COMMUNITY RADIO,48674,36.0,36.0,72.0,72.0,38-59-53,92-11-48,,,368B,,,,,38.99805555555556,-92.19666666666667,Boone,29019.0
KWCC-FM,,89.5,WOODLAND PARK,CO,USA,NEWS/TALK,NATIONAL PUBLIC RADIO FOR SOUTHERN COLORADO,176681,0.0,0.1,0.0,-132.0,38-59-49,105-02-46,,,,,,,,38.996944444444445,-105.0461111111111,El Paso,8041.0
HRFE-5,98.9,89.5,CHOLUTECA,CH,HND,RELIGIOUS,ESTÉREO FE,570060,1.159,1.159,48.0,48.0,15-27-31,88-02-59,Spanish,,,,,,Tx site Cerro La Cumbre,15.45861111111111,-88.04972222222221,,
K208CA,KUSU-FM 91.5,89.5,PAROWAN,UT,USA,NEWS/TALK/CLASSICAL,UTAH PUBLIC RADIO,69585,0.0,0.01,0.0,199.0,37-50-32,112-58-10,,,,,,,,37.842222222222226,-112.96944444444445,Iron,49021.0
NEW,,89.5,DEMING,NM,USA,,,768536,1.0,1.0,20.0,20.0,32-15-59,107-45-28,,CP-new,,,,,,32.26638888888889,-107.75777777777778,Luna,35029.0
WEFI,,89.5,EFFINGHAM,IL,USA,CONTEMPORARY CHRISTIAN,FAMILY RADIO,91350,0.4,0.4,50.0,50.0,39-08-30,88-33-36,,,,,,,,39.141666666666666,-88.56,Effingham,17049.0
KCAC,,89.5,CAMDEN,AR,USA,ROCK,THE MUSIC ALTERNATIVE KC-89,8467,10.0,9.9,98.7,98.7,33-39-16,92-40-34,,,,,,,Southern Arkansas University,33.654444444444444,-92.67611111111111,Calhoun,5013.0
WZWP,,89.5,WEST UNION,OH,USA,RELIGIOUS TEACHING/SOUTHERN GOSPEL,KING OF KINGS RADIO,74301,3.2,3.2,116.0,116.0,38-51-26,83-36-38,,,,,,,,38.85722222222223,-83.61055555555555,Adams,39001.0
WCVV,,89.5,BELPRE,OH,USA,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,4640,4.4,4.4,117.0,117.0,39-19-27,81-37-33,,,,,,,,39.32416666666667,-81.62583333333333,Washington,39167.0
VF5211,,89.5,RANKIN INLET,NU,CAN,,,901060,0.003,0.0,56.0,0.0,63-02-14,92-13-13,,,,,,,Agnico Eagle Meliadine Project (gold mine),63.03722222222222,-92.22027777777778,,
K208FI,KHYM 103.9,89.5,FELT,OK,USA,GOSPEL MUSIC,PRAISE AND ENCOURAGEMENT,77526,0.0,0.217,0.0,58.1,36-33-28,102-53-20,,,,,,,,36.55777777777777,-102.8888888888889,Cimarron,40025.0
WBCY,WBCL 90.3,89.5,ARCHBOLD,OH,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,FAMILY FRIENDLY - COMMERCIAL FREE,64657,20.0,20.0,96.0,96.0,41-28-59,84-16-58,,,5789,WBCY 89.5 WBCL Radio Network wbcl.org,Title & ARtist,No Program Type or Undefined,Taylor University Broadcasting,41.48305555555556,-84.28277777777778,Fulton,39051.0
TGSQ,96.9,89.5,SANTA CRUZ DEL QUICHÉ,QC,GTM,NEWS/TALK/SPORTS,SONORA FM,560033,0.316,0.316,-4.0,-4.0,15-01-31,91-08-46,Spanish,,,,,,,15.025277777777779,-91.14611111111111,,
WRMO,,89.5,HOWLAND,ME,USA,,,768737,0.3,0.3,149.0,149.0,45-20-41,68-30-28,,,,,,,,45.344722222222224,-68.50777777777778,Penobscot,23019.0
KPFR,,89.5,PINE GROVE,OR,USA,RELIGIOUS TEACHING,FAMILY RADIO,85834,0.0,2.9,0.0,513.0,45-19-58,121-42-48,,,,,,,,45.33277777777778,-121.71333333333334,Clackamas,41005.0
KMFA,,89.5,AUSTIN,TX,USA,CLASSICAL,KMFA 89.5,8685,40.0,40.0,398.0,398.0,30-19-23,97-47-58,,HD,3032,[Artist] - [Title],[Artist] - [Title],Classical,,30.323055555555555,-97.79944444444445,Travis,48453.0
KTME,KCSP 90.3,89.5,RELIANCE,WY,USA,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,176985,0.35,0.35,342.4,342.4,41-29-47,109-20-42,,,,,,,,41.49638888888889,-109.345,Sweetwater,56037.0
WYPA,,89.5,CHERRY HILL,NJ,USA,CONTEMPORARY CHRISTIAN,AIR1,7045,0.0,1.9,0.0,61.0,39-54-43,74-59-21,,HD,958E,Air1,,,,39.911944444444444,-74.98916666666666,Burlington,34005.0
WWPJ,WWFM 89.1,89.5,PEN ARGYL,PA,USA,CLASSICAL,"WWFM, THE CLASSICAL NETWORK",78699,0.001,0.225,230.8,230.8,40-51-34,75-18-04,,HD,,,,,,40.85944444444445,-75.30111111111111,Northampton,42095.0
WTJY,,89.5,ASHEBORO,NC,USA,SOUTHERN GOSPEL,JOY FM,53092,0.31,0.31,166.2,166.2,35-36-55,79-53-28,,,,,,,,35.61527777777778,-79.89111111111112,Randolph,37151.0
WPKN,,89.5,BRIDGEPORT,CT,USA,VARIETY,WPKN 89.5,73886,10.0,10.0,169.0,169.0,41-16-44,73-11-08,,,7D55,WPKN,The Greatest Radio Station in the World,Public,,41.278888888888886,-73.18555555555555,Fairfield,9001.0
K208DG,KPFT 90.1,89.5,GALVESTON,TX,USA,NEWS/TALK/VARIETY,RADIO FOR PEACE,91118,0.0,0.08,0.0,0.0,29-17-05,94-46-57,,,,,,,,29.284722222222225,-94.7825,Galveston,48167.0
HRWQ,,89.5,CATACAMAS,OL,HND,VARIETY,ANTENA 5 FM,570073,0.0,1.641,0.0,-239.0,14-51-42,85-53-23,Spanish,,,,,,12 hrs/sign on; Tx site Cerro La Cruz,14.861666666666666,-85.88972222222223,,
K208CC,KSOR 90.1,89.5,CAVE JUNCTION,OR,USA,CLASSICAL/NEWS/TALK,JEFFERSON PUBLIC RADIO,50626,0.0,0.083,0.0,550.0,42-15-31,123-37-43,,,,,,,,42.25861111111111,-123.6286111111111,Josephine,41033.0
KLND,,89.5,LITTLE EAGLE,SD,USA,VARIETY,KLND 89.5 - THE LODGE OF GOOD VOICES,59762,100.0,100.0,207.0,207.0,45-44-54,100-48-30,,,2.00E+61,KLND,-,,,45.748333333333335,-100.80833333333334,Corson,46031.0
WDPS,,89.5,DAYTON,OH,USA,JAZZ,DAYTON`S HOME FOR REAL JAZZ,15880,6.0,5.8,64.0,64.0,39-45-28,84-11-36,,,,,,,,39.757777777777775,-84.19333333333334,Montgomery,39113.0
WVMS,,89.5,SANDUSKY,OH,USA,RELIGIOUS TEACHING,MOODY RADIO,43701,5.5,5.5,30.0,30.0,41-26-29,82-48-20,,,,,,,,41.44138888888889,-82.80555555555556,Erie,39043.0
KDCB,,89.5,COOS BAY,OR,USA,RELIGIOUS TEACHING/CONTEMPORARY CHRISTIAN,THE DOVE,176687,0.055,0.055,148.0,148.0,43-21-16,124-14-30,,,,,,,,43.35444444444445,-124.24166666666667,Coos,41011.0
K208DJ,KEMC 91.7,89.5,GREAT FALLS,MT,USA,NEWS/CLASSICAL,YELLOWSTONE PUBLIC RADIO,84903,0.07,0.07,78.3,78.3,47-32-23,111-17-06,,,,,,,Montana State Univ.,47.53972222222222,-111.285,Cascade,30013.0
WKMT,,89.5,FULTON,KY,USA,NEWS/CLASSICAL/JAZZ,MURRAY STATE`S NPR STATION,174018,4.5,4.5,107.5,107.5,36-34-10,88-50-13,,,,,,,,36.56944444444445,-88.83694444444444,Hickman,21105.0
TISDV-1,//,89.5,SAN ISIDRO DE EL GENERAL,SJ,CTR,CONTEMPORARY CHRISTIAN,LIFE FM,530128,2.82,0.0,2075.0,0.0,9-33-16,83-44-42,Spanish,,,,,,Tx site Cerro de la Muerte,9.554444444444446,-83.745,,
KAIB,,89.5,SHAFTER,CA,USA,CONTEMPORARY CHRISTIAN,AIR1,124884,50.0,50.0,109.0,109.0,35-36-53,119-28-16,,,A1D1,,,,,35.61472222222223,-119.47111111111111,Kern,6029.0
K208GA,KORB 88.7,89.5,PETALUMA,CA,USA,RELIGIOUS TEACHING,KFAITH 103.1,156262,0.004,0.01,361.0,0.0,38-19-56,122-35-44,,,,,,,,38.33222222222223,-122.59555555555555,Sonoma,6097.0
WJMU,,89.5,DECATUR,IL,USA,VARIETY,WJMU 89.5 THE QUAD,42654,1.65,1.65,26.0,26.0,39-50-30,88-58-29,,,,,,,,39.84166666666667,-88.97472222222223,Christian,17021.0
KJCC,KAWZ 89.9,89.5,CARNEGIE,OK,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,122517,23.5,23.5,118.8,118.8,35-21-17,98-13-58,,,,,,,,35.35472222222222,-98.23277777777778,Caddo,40015.0
KYZZ,,89.5,JOSHUA TREE,CA,USA,,,768189,1.5,1.5,82.0,82.0,34-09-15,116-11-53,,,,,,,,34.15416666666667,-116.19805555555556,San Bernardino,6071.0
WNGU,,89.5,DAHLONEGA,GA,USA,NEWS/VARIETY,GEORGIA PUBLIC RADIO,76477,0.75,0.75,140.0,140.0,34-31-29,83-59-50,,HD,,,,,,34.52472222222222,-83.99722222222222,Lumpkin,13187.0
NEW,,89.5,SHELBY,MS,USA,,,766580,50.0,50.0,88.0,88.0,33-56-48,90-50-58,,CP-new,,,,,,33.946666666666665,-90.84944444444444,Bolivar,28011.0
WILB-FM,WILB 1060,89.5,BOARDMAN,OH,USA,RELIGIOUS TEACHING,LIVING BREAD RADIO,173428,0.15,0.15,47.9,47.9,41-04-48,80-38-25,,,6734,,,,,41.080000000000005,-80.64027777777778,Mahoning,39099.0
TGCQ,,89.5,SAN JOSÉ ARADA,CQ,GTM,TROPICAL,ESTÉREO SOLAR,560035,0.1,0.1,-357.0,-357.0,14-43-23,89-36-09,Spanish,,,,,,,14.723055555555556,-89.60249999999999,,
KPRN,,89.5,GRAND JUNCTION,CO,USA,NEWS/TALK,COLORADO PUBLIC RADIO,53774,19.83,19.83,402.0,402.0,39-03-58,108-44-43,,,3963,CPR News [Prgm name],CPR News [Prgm name],News,,39.066111111111105,-108.74527777777777,Delta,8029.0
K208DR,KEFX 88.9,89.5,ROSWELL,NM,USA,CHRISTIAN CHR + ROCK,EFFECT RADIO,92755,0.0,0.115,0.0,89.8,33-21-47,104-38-11,,,,,,,,33.363055555555555,-104.6363888888889,Chaves,35005.0
K208FS,KAWZ 89.9,89.5,FORT MORGAN,CO,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,92436,0.099,0.099,0.0,0.0,40-13-02,103-41-48,,,,,,,,40.217222222222226,-103.69666666666667,Morgan,8087.0
KSKO-FM,,89.5,MCGARTH,AK,USA,VARIETY,,198148,0.0,0.09,0.0,-25.0,62-57-29,155-35-49,,,A49A,Public Radio for Interior Alaska,Public Radio for Interior Alaska,Public,,62.95805555555556,-155.59694444444446,Yukon-Koyukuk,2290.0
WCOF,WCGP 89.3,89.5,ARCADE,NY,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE NETWORK,122027,1.0,1.0,180.7,180.7,42-27-41,78-18-26,,,5B61,WCOF-FM,,,,42.46138888888889,-78.30722222222222,Allegany,36003.0
KNLH,,89.5,CEDAR HILL,MO,USA,SOUTHERN GOSPEL,HERE'S HELP NETWORK,83445,0.068,0.068,213.0,213.0,38-21-40,90-32-54,,,,,,,,38.361111111111114,-90.54833333333333,Jefferson,29099.0
WBSB,,89.5,ANDERSON,IN,USA,CLASSICAL,THE NOTE,3650,0.0,0.4,0.0,111.0,40-10-38,85-40-23,,,,,,,,40.17722222222222,-85.67305555555556,Madison,18095.0
WSOM,,89.5,FRANKLIN,IN,USA,RELIGIOUS TEACHING,RELEVANT RADIO,22336,4.0,4.0,66.0,66.0,39-24-30,86-08-53,,Mono,85C2,,,,,39.40833333333333,-86.14805555555556,Johnson,18081.0
K208BS,KDOX 91.3,89.5,BISHOP,CA,USA,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,71806,0.026,0.026,899.0,899.0,37-24-42,0118-11-07,,,,,,,,37.41166666666666,-118.18527777777778,Inyo,6027.0
KUIN,,89.5,TAHOLAH,WA,USA,,,768636,0.1,0.1,9.0,9.0,47-20-11,124-17-03,,,,,,,,47.33638888888889,-124.28416666666666,Grays Harbor,53027.0
WPMU,WTLR 89.9,89.5,DUBOIS,PA,USA,RELIGIOUS TEACHING,WAY TRUTH LIFE RADIO,762559,3.25,6.0,177.0,177.0,41-02-44,78-42-11,,,7D90,,,,,41.04555555555555,-78.70305555555557,Clearfield,42033.0
KEPX,,89.5,EAGLE PASS,TX,USA,CONTEMPORARY CHRISTIAN,MANANTIAL 89.5 FM,73753,52.0,52.0,78.0,78.0,28-39-26,100-25-00,Spanish,,1C2D,89PX - SU OASIS,KEPX 89.5 SU OASIS,Religious Music,,28.65722222222222,-100.41666666666667,Maverick,48323.0
CIUT-FM,,89.5,TORONTO,ON,CAN,ADULT ALTERNATIVE,CIUT 89.5 FM,900103,15.0,15.0,269.7,269.7,43-38-56,79-22-54,,,C8B4,CIUT-FM,CIUT-FM The Sound of Your City,,,43.64888888888889,-79.38166666666666,,
WCWD,WWNO 89.9 HD2,89.5,COVINGTON,LA,USA,CLASSICAL,CLASSICAL 104.9,767498,0.75,0.75,94.0,94.0,30-34-24,90-12-37,,,5C2F,,,Classical,,30.573333333333334,-90.21027777777778,St. Tammany,22103.0
WFOT,WNOC 89.7,89.5,LEXINGTON,OH,USA,RELIGIOUS TEACHING,ANNUNCIATION RADIO,92877,0.36,0.36,92.75,92.75,40-43-36,82-36-59,,,,,,,,40.72666666666667,-82.61638888888888,Richland,39139.0
WHRV,,89.5,NORFOLK,VA,USA,NEWS/TALK/VARIETY,PUBLIC RADIO FOR EASTERN VIRGINIA,25933,34.0,34.0,181.7,181.7,36-48-32,76-30-13,,HD,68F3,89.5 WHRV,WHRV,Public,,36.80888888888889,-76.50361111111111,Chesapeake,51550.0
KTOT,,89.5,SPEARMAN,TX,USA,NEWS/CLASSICAL,HIGH PLAINS PUBLIC RADIO,92623,100.0,100.0,325.0,325.0,36-03-44,101-01-56,,,,,,,,36.06222222222222,-101.03222222222222,Hansford,48195.0
WSOU,,89.5,SOUTH ORANGE,NJ,USA,ROCK,WSOU 89.5 SETON HALL'S PIRATE RADIO,59707,2.4,2.4,95.0,95.0,40-44-28,74-14-42,,HD,85B0,,Seton Hall Pirate Radio,Rock,,40.74111111111111,-74.245,Essex,34013.0
HRFK,,89.5,LA VIRTUD,LE,HND,VARIETY,LA VOZ DE LA FRONTERA,570065,0.0,0.1,0.0,-134.0,14-03-31,88-41-34,Spanish,,,,,,4AM-10PM sign on,14.058611111111112,-88.69277777777778,,
KBMJ,,89.5,HEBER SPRINGS,AR,USA,RELIGIOUS TEACHING,AMERICAN FAMILY RADIO,87466,0.0,70.0,0.0,224.0,35-44-00,92-15-37,,,,,,,,35.733333333333334,-92.26027777777777,Cleburne,5023.0
K208EK,KAWZ 89.9,89.5,PARSONS,KS,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,92264,0.0,0.17,0.0,95.0,37-23-07,95-14-06,,,,,,,,37.38527777777778,-95.235,Labette,20099.0
K208EG,KWFL 99.3,89.5,ALAMOSA,CO,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE RADIO,94150,0.17,0.17,37.8,0.0,37-27-28,105-51-42,,,,,,,,37.45777777777778,-105.86166666666666,Alamosa,8003.0
K208BR,KNIS 91.3,89.5,EUREKA,NV,USA,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,71801,0.0,0.05,0.0,0.0,39-30-40,115-57-56,,,,,,,,39.51111111111111,-115.96555555555555,Eureka,32011.0
VF5187,,89.5,PORT ALBERNI,BC,CAN,,,901490,0.0001,0.0,-31.3,0.0,49-15-53,124-47-10,,,,,,,,49.264722222222225,-124.78611111111111,,
K208ET,KAWZ 89.9,89.5,TONOPAH,NV,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,93152,0.0,0.01,0.0,438.7,38-03-06,117-13-30,,,,,,,,38.05166666666666,-117.22500000000001,Nye,32023.0
W208AR,WJIS 88.1,89.5,LAKE PLACID,FL,USA,CONTEMPORARY CHRISTIAN,THE JOY FM NETWORK,91738,0.01,0.01,103.5,0.0,27-18-04,81-21-26,,,,,,,,27.301111111111112,-81.35722222222222,Highlands,12055.0
WCMU-FM,,89.5,MOUNT PLEASANT,MI,USA,NEWS/TALK,WCMU PUBLIC RADIO,9918,100.0,100.0,130.0,130.0,43-34-33,84-46-29,,HD,5B3C,WCMU,CMU Public Radio - WCMU.org,Public,NPR,43.575833333333335,-84.77472222222222,Isabella,26073.0
KWGS,,89.5,TULSA,OK,USA,NEWS/TALK,PUBLIC RADIO 89.5,66586,50.0,50.0,325.0,325.0,36-01-15,95-40-32,,HD,4AC6,NPR Public Radio Tulsa KWGS,NPR Public Radio Tulsa KWGS,News,Univ of Tulsa,36.020833333333336,-95.67555555555556,Osage,40113.0
WHVY,WHVT 90.5,89.5,COSHOCTON,OH,USA,RELIGIOUS TEACHING,CLEAN AIR CHRISTIAN RADIO NETWORK,171800,1.75,1.75,85.0,85.0,40-18-17,81-44-04,,,,,,,,40.30472222222222,-81.73444444444445,Coshocton,39031.0
KCKJ,,89.5,SARCOXIE,MO,USA,CONTEMPORARY CHRISTIAN,THE WIND,175649,50.0,50.0,107.0,107.0,37-11-40,93-55-39,,,1655,(Title & Artist) on The Wind,(Title & Artist) on The Wind,Adult Hits,,37.19444444444444,-93.92750000000001,Lawrence,29109.0
TISDV-2,//,89.5,DIRIA NATIONAL PARK,GU,CTR,CONTEMPORARY CHRISTIAN,LIFE FM,530228,2.82,0.0,806.0,0.0,10-07-11,85-37-40,Spanish,,,,,,Tx site Cerros de Lechuza,10.119722222222222,-85.62777777777777,,
CKWG-FM,,89.5,WAHGOSHIG LAKE,ON,CAN,ABORIGINAL,WAHGOSHIG FIRST NATION,902543,0.017,0.017,15.0,15.0,48-36-43,79-59-02,,,,,,,,48.61194444444445,-79.98388888888888,,
TISDV-5,//,89.5,VILLA CALETAS,PU,CTR,CONTEMPORARY CHRISTIAN,LIFE FM,530528,1.41,0.0,171.0,0.0,9-41-20,84-38-57,Spanish,,,,,,,9.68888888888889,-84.64916666666667,,
K208CS,KUSU-FM 91.5,89.5,OGDEN,UT,USA,NEWS/TALK/CLASSICAL,UTAH PUBLIC RADIO,69595,0.0,0.14,0.0,-0.5,41-20-32,112-00-30,,,,,,,,41.342222222222226,-112.00833333333334,Salt Lake,49035.0
K208GJ,KAZU 90.3,89.5,SANTA CRUZ,CA,USA,NEWS/TALK,NPR FOR THE MONTEREY BAY AREA,51719,0.007,0.0,0.0,0.0,36-57-37,0122-01-14,,,,,,,,36.96027777777778,-122.02055555555556,Monterey,6053.0
KVNE,,89.5,TYLER,TX,USA,CONTEMPORARY CHRISTIAN,VOICE OF ENCOURAGEMENT 89.5,18758,90.0,90.0,278.0,278.0,32-32-21,95-13-16,,,48CA,[Title] by [Artist] on 89.5 KVNE,[Title] by [Artist] on 89.5 KVNE,Adult Hits,,32.53916666666667,-95.22111111111111,Rusk,48401.0
WJHW,,89.5,MAYODAN,NC,USA,SOUTHERN GOSPEL,OLD PATHS RADIO NETWORK,173612,2.6,2.6,113.0,113.0,36-30-49,79-55-28,,,,,,,,36.51361111111111,-79.92444444444445,Rockingham,37157.0
KAHW-FM,,89.5,JARELES,NM,USA,,,767942,4.8,4.8,63.0,63.0,34-23-44,107-00-43,,,,,,,,34.39555555555555,-107.01194444444444,Socorro,35053.0
4VTM-FM-3,90.9,89.5,GONAÏVES,AR,HTI,CULTURE EDUCATION,RADIO TI MOUN,720020,0.3,0.3,35.0,35.0,19-27-04,72-40-48,Creole,,,,,,,19.45111111111111,-72.68,,
TGEA,,89.5,ESCUINTLA,ES,GTM,TROPICAL,URBANA GT 89 CINCO,560031,10.0,10.0,-96.0,-96.0,14-18-03,90-47-08,Spanish,,,,,,,14.300833333333333,-90.78555555555555,,
KCEU,,89.7,PRICE,UT,USA,ADULT ALTERNATIVE,THE EDGE,172526,0.44,0.44,-50.0,-50.0,39-36-41,110-48-36,,,,,,,,39.61138888888889,-110.81,Carbon,49007.0
K209DX,WJFM 88.5,89.7,BROOKINGS,SD,USA,RELIGIOUS TEACHING,THE SONLIFE RADIO NETWORK,94117,0.25,0.25,39.2,0.0,44-20-22,96-46-07,,,,,,,,44.339444444444446,-96.76861111111111,Brookings,46011.0
WDJW,,89.7,SOMERS,CT,USA,ADULT ALTERNATIVE,,71340,0.009,0.0,-18.0,0.0,41-57-43,72-27-51,,,5D94,WDJW SOMERS RADIO,WDJW SOMERS RADIO,Information,,41.96194444444445,-72.46416666666667,Tolland,9013.0
KBSB,,89.7,BEMIDJI,MN,USA,CONTEMPORARY HIT RADIO,FM 90,4654,0.2,0.2,30.0,30.0,47-29-12,94-52-28,,,,,,,,47.486666666666665,-94.87444444444444,Beltrami,27007.0
WRTU,,89.7,SAN JUAN,PR,USA,VARIETY,RADIO UNIVERSIDAD,69090,50.0,50.0,244.0,244.0,18-16-00,66-05-05,Spanish,HD,838E,WRTU-FM,Todo un mundo de musica,No Program Type or Undefined,,18.266666666666666,-66.08472222222221,Aguas Buenas,72007.0
KEPC,,89.7,COLORADO SPRINGS,CO,USA,VARIETY,,52595,10.0,10.0,-77.9,-77.9,38-45-41,104-47-04,,HD,1C18,KEPC-FM MAXIMUM VARIETY,-,,,38.76138888888889,-104.78444444444445,El Paso,8041.0
W209CU,KAWZ 89.9,89.7,HUNTSVILLE,AL,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,92936,0.01,0.01,316.5,0.0,34-40-50,86-30-55,,,,,,,,34.68055555555555,-86.51527777777778,Madison,1089.0
WSSH,,89.7,LISBON,NH,USA,COUNTRY,WISH COUNTRY 89.7,176846,0.13,0.13,90.0,90.0,44-13-11,71-52-07,,,,,,,,44.219722222222224,-71.86861111111111,Grafton,33009.0
WGBH,,89.7,BOSTON,MA,USA,NEWS/TALK/JAZZ,BOSTON'S LOCAL NPR,70510,98.0,98.0,198.0,198.0,42-12-42,71-06-51,,HD,64A1,WGBH - Current Show,WGBH-FM BOSTON'S LOCAL NPR,News,,42.211666666666666,-71.11416666666666,Middlesex,25017.0
KHSI,,89.7,CONRAD,MT,USA,,,766710,1.5,1.5,51.0,51.0,48-07-50,111-55-11,,,,,,,,48.13055555555555,-111.91972222222223,Pondera,30073.0
WAUV,,89.7,RIPLEY,TN,USA,RELIGIOUS TEACHING,AMERICAN FAMILY RADIO,81643,6.4,6.4,120.0,120.0,35-46-31,89-28-18,,,,,,,,35.775277777777774,-89.47166666666666,Lauderdale,47097.0
WJHO,,89.7,ALEXANDER CITY,AL,USA,CONTEMPORARY CHRISTIAN,89.7 WJHO,121797,0.0,21.0,0.0,147.0,33-12-30,85-59-31,,,6D30,,,,,33.208333333333336,-85.99194444444444,Chambers,1017.0
XHCPEN-FM,,89.7,MÉRIDA,QROO,MEX,TEEN HITS - JUVENIL,ALTAVOZ RADIO,801843,3.0,3.0,71.7,71.7,20-55-57,89-34-42,Spanish,,FFFF,XHCPEN,XHCPEN Altavoz Radio Merida,,,20.9325,-89.57833333333333,,
KJWA,KRWA 90.9,89.7,TRINIDAD,CO,USA,CONTEMPORARY CHRISTIAN,WAY FM,87410,0.16,0.16,241.0,241.0,37-14-18,104-30-55,,,,,,,,37.23833333333334,-104.51527777777778,Las Animas,8071.0
KIWR,,89.7,COUNCIL BLUFFS,IA,USA,ADULT ALTERNATIVE,89.7 THE RIVER,29126,100.0,100.0,326.0,326.0,41-18-40,96-01-37,,,276D,TheRiver,The Anchor of Alternative & Rock 89.7 The River 712-328-8970,Rock,,41.31111111111111,-96.02694444444444,Pottawattamie,19155.0
KNRI,,89.7,BISMARCK,ND,USA,CONTEMPORARY CHRISTIAN,AIR1,93595,1.3,1.3,110.0,110.0,46-49-38,100-46-28,,,3416,,,,,46.827222222222225,-100.77444444444444,Burleigh,38015.0
